,CJ,Points
0,Club Jeunes d'Yvré-l'Evêque,59758
1,Club Jeunes de Châteaubourg,79977
2,Club Jeunes de Puech de Barret - Le Garric,75842
3,Club Jeunes de Chamarande,23936
4,Club Jeunes de Vaux-le-Pénil,35890
5,Club Jeunes de la Roche-sur-Yon,25382
6,Club Jeunes de Saint Pierre du Mont,70817
7,Club Jeunes de Saint-Omer,24129
8,Club Jeunes de Luynes,69763
9,Club Jeunes de Rennes,3805
10,Club Jeunes de Pornic,26178
11,Club Jeunes de Plaisir,9107
12,Club Jeunes de Laon,7176
13,Club Jeunes de Cluses,20998
14,Club Jeunes de Cholet,15702
15,Club Jeunes de Chameyrat,17936
16,Club Jeunes de Sarreguemines,17077
17,Club Jeunes de Briançon,45577
18,Club Jeunes de Bordeaux,8973
